供应商ID,品类,安全指数,排名
S372,A,0.25311085484196433,298
S363,A,0.25077525858105415,299
S293,A,0.25058725845929497,300
S111,B,0.2504445571987568,301
S334,C,0.2501405144616596,302
S264,B,0.2500957572415412,303
S378,B,0.24980839926689535,304
S192,C,0.24831732143630167,305
S246,C,0.24788946499447403,306
S311,B,0.24779372122849158,307
S326,C,0.2477160691064276,308
S380,C,0.2473690980615578,309
S390,B,0.2471895332178787,310
S001,B,0.24700885765507316,311
S095,B,0.24686853928221808,312
S341,A,0.2467598886319144,313
S084,C,0.2465989082610636,314
S071,A,0.24581650706523706,315
S319,B,0.24557403606584166,316
S302,A,0.24411621191385363,317
S290,C,0.24406024594748993,318
S283,A,0.24293592427586772,319
S401,B,0.24288966926815075,320
S309,A,0.24205353438587507,321
S183,C,0.2407406902105372,322
S394,A,0.2403320053313332,323
S371,B,0.23814442888265253,324
S322,B,0.23749429742718917,325
S328,B,0.23667237264635604,326
S236,C,0.23664893313471805,327
S012,A,0.2364446602111846,328
S325,C,0.23629762945225194,329
S179,B,0.23566519192895977,330
S276,B,0.23549301173431667,331
S166,B,0.23450982150399158,332
S277,C,0.2336249938561226,333
S373,A,0.23355872868110378,334
S147,B,0.23271890594031974,335
S019,B,0.23252119348337294,336
S091,A,0.2297563954655211,337
S047,B,0.229043319290784,338
S061,C,0.22889189935445836,339
S041,C,0.22880205304481765,340
S195,A,0.22813430778285845,341
S238,B,0.22672951681317155,342
S234,C,0.22604364218435472,343
S009,B,0.22576801371748365,344
S051,A,0.22551110108170222,345
S162,C,0.22397726354766745,346
S327,B,0.22387415189955706,347
S262,C,0.22285298958933708,348
S251,A,0.22167988289249757,349
S043,A,0.22162415430379986,350
S072,A,0.2207483145000004,351
S331,C,0.21964880617417368,352
S103,C,0.2166315970954581,353
S205,A,0.21465228823123586,354
S375,B,0.21341053410903035,355
S299,A,0.21280969400124577,356
S215,B,0.2093383652433451,357
S279,C,0.20823152495499703,358
S257,C,0.20810987937478553,359
S156,A,0.206681950477791,360
S343,C,0.2052945576686023,361
S168,B,0.2044592692349251,362
S345,C,0.20382013032245613,363
S198,A,0.20364555790395258,364
S176,B,0.20116038517454868,365
S370,A,0.20114652775092556,366
S063,C,0.20058057539763832,367
S402,B,0.19815283828899613,368
S134,B,0.1965707811624136,369
S094,C,0.19462357235769104,370
S214,B,0.19439950998270578,371
S231,C,0.1923504728292859,372
S059,C,0.1917338510355849,373
S185,A,0.19007619225148248,374
S029,B,0.1893469067618126,375
S100,C,0.18675092878592522,376
S278,A,0.18173847048378627,377
S127,A,0.17976565587308002,378
S317,A,0.17729005540038983,379
S289,A,0.1772134889392248,380
S382,C,0.17279861158128354,381
S393,B,0.1726741526660891,382
S208,A,0.16989044447309204,383
S173,C,0.16630773187830325,384
S241,C,0.16237929338969667,385
S022,A,0.15985393901998723,386
S190,B,0.1579281115829603,387
S400,B,0.1562540037568764,388
S252,C,0.15479595991416922,389
S303,B,0.15177933176524155,390
S015,A,0.1454272727428822,391
S219,A,0.14414578652358834,392
S083,A,0.1424718795940148,393
S058,B,0.13922027730978856,394
S212,C,0.1340193268730019,395
S223,C,0.11972774379842725,396
S368,C,0.10847948426087661,397
S093,A,0.10133036209821261,398
S181,A,0.09605830551486505,399
S062,A,0.05740843724881767,400
S250,A,0.04974306842859456,401
S358,B,0.0,402
